                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3202,                 0.6757,                0.98814,                 1.8434,              0.0002378,              0.0002378,              0.0002378
                      2,                0.92051,                0.69858,                0.98983,                 1.8101,             0.00046108,             0.00046108,             0.00046108
                      3,                0.85953,                0.73268,                0.99195,                 1.7936,             0.00066963,             0.00066963,             0.00066963
                      4,                0.80656,                0.76276,                0.99428,                 1.7441,             0.00064773,             0.00064773,             0.00064773
                      5,                0.72419,                0.78098,                0.99492,                 1.7151,             0.00064773,             0.00064773,             0.00064773
                      6,                0.66094,                0.80174,                0.99386,                 1.7051,             0.00062564,             0.00062564,             0.00062564
                      7,                0.59272,                0.81254,                 0.9964,                 1.6893,             0.00060355,             0.00060355,             0.00060355
                      8,                0.55263,                0.82419,                0.99682,                  1.667,             0.00058146,             0.00058146,             0.00058146
                      9,                0.50436,                0.84325,                0.99682,                 1.6537,             0.00055937,             0.00055937,             0.00055937
                     10,                0.45148,                 0.8477,                0.99725,                 1.6426,             0.00053728,             0.00053728,             0.00053728
                     11,                0.41796,                0.86147,                0.99576,                 1.6257,              0.0005152,              0.0005152,              0.0005152
                     12,                0.38601,                0.86677,                0.99449,                 1.6197,             0.00049311,             0.00049311,             0.00049311
                     13,                0.35827,                0.87418,                0.99767,                 1.6057,             0.00047102,             0.00047102,             0.00047102
                     14,                 0.3141,                0.87969,                0.99661,                 1.6002,             0.00044893,             0.00044893,             0.00044893
                     15,                0.29517,                0.88689,                 0.9964,                 1.5921,             0.00042684,             0.00042684,             0.00042684
                     16,                 0.2628,                0.88774,                0.99767,                 1.5873,             0.00040475,             0.00040475,             0.00040475
                     17,                0.24331,                0.88477,                 0.9964,                 1.5854,             0.00038266,             0.00038266,             0.00038266
                     18,                 0.2242,                0.89388,                0.99703,                 1.5759,             0.00036057,             0.00036057,             0.00036057
                     19,                0.20408,                0.90044,                0.99725,                 1.5708,             0.00033848,             0.00033848,             0.00033848
                     20,                0.18543,                 0.8979,                0.99576,                 1.5734,             0.00031639,             0.00031639,             0.00031639
                     21,                0.17041,                0.89854,                0.99407,                   1.57,              0.0002943,              0.0002943,              0.0002943
                     22,                0.15257,                0.90256,                0.99534,                 1.5654,             0.00027221,             0.00027221,             0.00027221
                     23,                0.14667,                0.90108,                 0.9947,                 1.5638,             0.00025012,             0.00025012,             0.00025012
                     24,                0.12969,                0.90743,                0.99555,                 1.5597,             0.00022803,             0.00022803,             0.00022803
                     25,                0.11952,                0.90765,                0.99576,                 1.5588,             0.00020594,             0.00020594,             0.00020594
                     26,                0.11504,                0.91104,                0.99513,                 1.5571,             0.00018385,             0.00018385,             0.00018385
                     27,                0.09568,                0.90828,                0.99576,                 1.5588,             0.00016177,             0.00016177,             0.00016177
                     28,                0.09668,                0.90743,                0.99598,                 1.5576,             0.00013968,             0.00013968,             0.00013968
                     29,                0.08283,                0.90807,                0.99576,                 1.5557,             0.00011759,             0.00011759,             0.00011759
                     30,                0.07697,                0.90892,                 0.9964,                 1.5549,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     31,                0.07069,                0.91188,                0.99555,                 1.5529,             7.3408e-05,             7.3408e-05,             7.3408e-05
                     32,                0.06435,                0.91209,                 0.9964,                 1.5524,             5.1319e-05,             5.1319e-05,             5.1319e-05
